MD	24003708004	5485	2304	68382854	1420884	      26.403	       0.549	 38.8010577	 -76.6451080                                                                                                            
MD	24003730100	7451	3031	23954678	4970500	       9.249	       1.919	 39.1732341	 -76.5482166                                                                                                            
MD	24003730203	5303	2613	2271685	109243	       0.877	       0.042	 39.1459883	 -76.5943569                                                                                                              
MD	24003730204	5723	2001	4726179	0	       1.825	       0.000	 39.1440233	 -76.5779361                                                                                                                   
MD	24003730300	3113	1209	2037879	39437	       0.787	       0.015	 39.1522140	 -76.6031260                                                                                                               
MD	24003730401	4745	1822	2214182	0	       0.855	       0.000	 39.1542922	 -76.6314183                                                                                                                   
MD	24003730402	6136	2604	3106197	0	       1.199	       0.000	 39.1445270	 -76.6166346                                                                                                                   
MD	24003730502	6327	2493	3954194	0	       1.527	       0.000	 39.1307449	 -76.6082857                                                                                                                   
MD	24003730504	7630	2929	4263213	0	       1.646	       0.000	 39.1190053	 -76.6156549                                                                                                                   
MD	24003730505	4599	2137	1106332	0	       0.427	       0.000	 39.1272874	 -76.6352513                                                                                                                   
MD	24003730506	3888	1961	1278096	0	       0.493	       0.000	 39.1331602	 -76.6282915                                                                                                                   
MD	24003730601	6846	2344	7662479	691043	       2.958	       0.267	 39.0992333	 -76.6125902                                                                                                              
MD	24003730603	3107	1086	6412474	3178	       2.476	       0.001	 39.1047935	 -76.5850585                                                                                                                
MD	24003730604	6748	2236	7209092	270545	       2.783	       0.104	 39.0881615	 -76.5791580                                                                                                              
MD	24003730700	6978	2706	6888389	4554623	       2.660	       1.759	 39.0652690	 -76.5574189                                                                                                             
MD	24003730800	2456	966	7415743	2892840	       2.863	       1.117	 39.0334891	 -76.5202825                                                                                                              
MD	24003730901	2608	1020	9157523	4247178	       3.536	       1.640	 38.9989588	 -76.4719032                                                                                                             
MD	24003730902	4075	1576	15484229	4958759	       5.978	       1.915	 39.0108468	 -76.4472714                                                                                                            
MD	24003731002	3234	1350	7581068	3340215	       2.927	       1.290	 39.0302814	 -76.4200293                                                                                                             
MD	24003731003	4387	1624	3181055	1225329	       1.228	       0.473	 39.0442342	 -76.4413282                                                                                                             
MD	24003731004	4258	1642	1880856	103854	       0.726	       0.040	 39.0462677	 -76.4523039                                                                                                              
MD	24003731102	7750	3168	7249277	2585443	       2.799	       0.998	 39.0563612	 -76.4730056                                                                                                             
MD	24003731103	5422	1923	8564805	0	       3.307	       0.000	 39.0343152	 -76.4946297                                                                                                                   
MD	24003731104	4097	1438	2466514	675388	       0.952	       0.261	 39.0574102	 -76.4960110                                                                                                              
MD	24003731105	3572	1353	2712960	956749	       1.047	       0.369	 39.0659737	 -76.5098970                                                                                                              
MD	24003731201	6354	2437	5258698	1326750	       2.030	       0.512	 39.0751029	 -76.5260293                                                                                                             
MD	24003731202	7686	2946	16653884	9008405	       6.430	       3.478	 39.0977211	 -76.4947874                                                                                                            
MD	24003731203	7295	2624	8156702	561133	       3.149	       0.217	 39.1000975	 -76.5476869                                                                                                              
MD	24003731204	6115	2404	11124693	144812	       4.295	       0.056	 39.1215354	 -76.5558940                                                                                                             
MD	24003731303	6827	2795	18370393	19390143	       7.093	       7.487	 39.0961191	 -76.4503885                                                                                                           
MD	24003731306	6293	2460	15994870	9020678	       6.176	       3.483	 39.1458383	 -76.4742389                                                                                                            
MD	24003731307	6586	2480	6276159	23847	       2.423	       0.009	 39.1291479	 -76.5107549                                                                                                               
MD	24003731308	3688	1486	1634459	1215507	       0.631	       0.469	 39.1650148	 -76.5098833                                                                                                             
MD	24003731309	5524	2134	2648323	608141	       1.023	       0.235	 39.1526270	 -76.5195153                                                                                                              
MD	24003731310	5247	1861	2238635	401032	       0.864	       0.155	 39.1448828	 -76.5344283                                                                                                              
