OR	41001950100	2761	1936	2872335513	14489033	    1109.015	       5.594	 44.6150082	-118.1527414                                                                                                         
OR	41001950200	3145	1524	20004678	0	       7.724	       0.000	 44.7786470	-117.8751526                                                                                                                  
OR	41001950300	2648	1353	1750622770	5232579	     675.919	       2.020	 44.5605166	-117.5792357                                                                                                          
OR	41001950400	3026	1468	5382767	178980	       2.078	       0.069	 44.7911500	-117.8172115                                                                                                              
OR	41001950500	2630	1133	501041096	1304625	     193.453	       0.504	 44.9038966	-117.7857663                                                                                                           
OR	41001950600	1924	1412	2797622109	30626177	    1080.168	      11.825	 44.8510740	-117.2473647                                                                                                         
OR	41003000100	7059	3070	9002240	268774	       3.476	       0.104	 44.5359630	-123.2632065                                                                                                              
OR	41003000202	5234	2396	13662156	0	       5.275	       0.000	 44.5379586	-123.3077291                                                                                                                  
OR	41003000400	7820	3422	9092349	0	       3.511	       0.000	 44.5996416	-123.2820909                                                                                                                   
OR	41003000500	3141	1382	18916975	0	       7.304	       0.000	 44.6323014	-123.2601892                                                                                                                  
OR	41003000600	4845	2205	27102036	717218	      10.464	       0.277	 44.6103720	-123.1979735                                                                                                             
OR	41003000900	5438	2486	9752064	0	       3.765	       0.000	 44.5849205	-123.3117656                                                                                                                   
OR	41003001001	3872	1870	1750595	0	       0.676	       0.000	 44.5893132	-123.2584733                                                                                                                   
OR	41003001002	3159	1377	1656250	0	       0.639	       0.000	 44.5829828	-123.2720640                                                                                                                   
OR	41003001101	3662	1388	669125	0	       0.258	       0.000	 44.5738237	-123.2789951                                                                                                                    
OR	41003001102	4519	2211	1490197	0	       0.575	       0.000	 44.5726708	-123.2676823                                                                                                                   
OR	41003010100	8519	3325	51140564	1355272	      19.745	       0.523	 44.6685895	-123.1358511                                                                                                            
OR	41003010200	4090	1663	486724800	309173	     187.926	       0.119	 44.6254144	-123.4048254                                                                                                            
OR	41003010300	3203	1461	628387944	864204	     242.622	       0.334	 44.3937320	-123.5302807                                                                                                            
OR	41003010400	3808	1629	427598010	2631348	     165.097	       1.016	 44.3834105	-123.3334335                                                                                                           
OR	41003010600	5507	2019	2240837	115816	       0.865	       0.045	 44.5631226	-123.2669575                                                                                                              
OR	41003010702	3645	984	3525006	0	       1.361	       0.000	 44.5647285	-123.2930023                                                                                                                    
OR	41003010800	3455	1428	8446530	106587	       3.261	       0.041	 44.5405029	-123.3596186                                                                                                              
OR	41003010900	4603	1929	49522560	549566	      19.121	       0.212	 44.5832911	-123.3605789                                                                                                             
OR	41005020100	3870	1805	4556613	217729	       1.759	       0.084	 45.4277406	-122.6711616                                                                                                              
OR	41005020200	6193	3032	5648201	1127678	       2.181	       0.435	 45.4155820	-122.6885515                                                                                                             
OR	41005020302	3591	1649	3454292	0	       1.334	       0.000	 45.4106777	-122.7334616                                                                                                                   
OR	41005020303	5275	2833	2317812	0	       0.895	       0.000	 45.4264179	-122.7152807                                                                                                                   
OR	41005020304	5438	2251	2435662	1260	       0.940	       0.000	 45.4252904	-122.7371420                                                                                                                
OR	41005020401	5059	2152	3984830	27018	       1.539	       0.010	 45.3939870	-122.7292221                                                                                                               
OR	41005020403	3628	1358	4051827	22931	       1.564	       0.009	 45.3905062	-122.7048436                                                                                                               
OR	41005020404	3708	1542	3043110	694035	       1.175	       0.268	 45.4044858	-122.6914809                                                                                                              
OR	41005020501	6921	2842	13078696	0	       5.050	       0.000	 45.3689786	-122.6676637                                                                                                                  
OR	41005020503	2339	1021	2352121	18518	       0.908	       0.007	 45.4041623	-122.6674282                                                                                                               
OR	41005020504	6316	2534	6477835	3088	       2.501	       0.001	 45.3844235	-122.6581504                                                                                                                
OR	41005020505	2661	1184	3420548	570825	       1.321	       0.220	 45.3922427	-122.6392883                                                                                                              
OR	41005020600	7814	3053	6239366	786257	       2.409	       0.304	 45.3653229	-122.6257861                                                                                                              
OR	41005020700	3781	1498	3226125	482263	       1.246	       0.186	 45.3460678	-122.6546685                                                                                                              
OR	41005020800	3989	2091	3984919	309933	       1.539	       0.120	 45.4475785	-122.6400931                                                                                                              
OR	41005020900	3799	1687	1765219	0	       0.682	       0.000	 45.4550951	-122.6277149                                                                                                                   
OR	41005021000	4509	1932	2458945	247	       0.949	       0.000	 45.4533417	-122.6109135                                                                                                                 
OR	41005021100	5424	2249	2476296	3783	       0.956	       0.001	 45.4431814	-122.6103187                                                                                                                
OR	41005021200	3859	2139	1969967	316763	       0.761	       0.122	 45.4306502	-122.6425893                                                                                                              
OR	41005021300	5937	2438	3422763	252456	       1.322	       0.097	 45.4126599	-122.6441273                                                                                                              
